#	VACF	MSD
    0.0963    0.5976
    0.0923    0.5999
    0.0860    0.6022
    0.0777    0.6044
    0.0679    0.6067
    0.0571    0.6089
    0.0459    0.6112
    0.0349    0.6134
    0.0245    0.6156
    0.0152    0.6177
    0.0073    0.6199
    0.0010    0.6221
   -0.0036    0.6242
   -0.0067    0.6263
   -0.0083    0.6284
   -0.0085    0.6306
   -0.0076    0.6327
   -0.0054    0.6348
   -0.0021    0.6369
    0.0024    0.6390
    0.0077    0.6411
    0.0139    0.6432
    0.0206    0.6453
    0.0274    0.6474
    0.0339    0.6495
    0.0396    0.6515
    0.0442    0.6536
    0.0476    0.6556
    0.0502    0.6577
    0.0523    0.6598
    0.0545    0.6618
    0.0572    0.6639
    0.0606    0.6659
    0.0647    0.6680
    0.0690    0.6701
    0.0733    0.6721
    0.0770    0.6742
    0.0798    0.6763
    0.0815    0.6784
    0.0818    0.6805
    0.0808    0.6826
    0.0787    0.6847
    0.0756    0.6868
    0.0718    0.6889
    0.0673    0.6910
    0.0623    0.6931
    0.0564    0.6952
    0.0495    0.6973
    0.0415    0.6993
    0.0323    0.7013
    0.0220    0.7033
    0.0104    0.7053
   -0.0026    0.7072
   -0.0168    0.7092
   -0.0319    0.7111
   -0.0472    0.7130
   -0.0621    0.7149
   -0.0758    0.7168
   -0.0877    0.7187
   -0.0976    0.7206
   -0.1049    0.7226
   -0.1096    0.7245
   -0.1114    0.7264
   -0.1103    0.7283
   -0.1064    0.7303
   -0.0999    0.7323
   -0.0915    0.7343
   -0.0814    0.7364
   -0.0701    0.7385
   -0.0581    0.7406
   -0.0456    0.7427
   -0.0329    0.7449
   -0.0205    0.7471
   -0.0085    0.7494
    0.0028    0.7516
    0.0132    0.7539
    0.0226    0.7562
    0.0307    0.7586
    0.0375    0.7609
    0.0427    0.7633
    0.0462    0.7657
    0.0482    0.7681
    0.0486    0.7705
    0.0476    0.7729
    0.0454    0.7753
    0.0423    0.7777
    0.0387    0.7801
    0.0350    0.7826
    0.0316    0.7850
    0.0284    0.7874
    0.0256    0.7899
    0.0229    0.7923
    0.0201    0.7948
    0.0170    0.7972
    0.0139    0.7997
    0.0107    0.8021
    0.0079    0.8045
    0.0056    0.8069
    0.0038    0.8093
    0.0025    0.8117
    0.0017    0.8140
    0.0014    0.8163
    0.0014    0.8186
    0.0017    0.8209
    0.0019    0.8231
    0.0018    0.8254
    0.0010    0.8275
   -0.0009    0.8297
   -0.0041    0.8318
   -0.0087    0.8338
   -0.0144    0.8359
   -0.0208    0.8378
   -0.0273    0.8397
   -0.0336    0.8416
   -0.0394    0.8434
   -0.0445    0.8451
   -0.0490    0.8468
   -0.0527    0.8484
   -0.0556    0.8500
   -0.0577    0.8515
   -0.0589    0.8530
   -0.0593    0.8545
   -0.0591    0.8560
   -0.0588    0.8574
   -0.0586    0.8589
   -0.0588    0.8604
   -0.0596    0.8620
   -0.0610    0.8635
   -0.0628    0.8651
   -0.0644    0.8667
   -0.0654    0.8683
   -0.0655    0.8699
   -0.0644    0.8716
   -0.0623    0.8733
   -0.0595    0.8751
   -0.0563    0.8769
   -0.0530    0.8787
   -0.0498    0.8806
   -0.0467    0.8826
   -0.0436    0.8846
   -0.0407    0.8866
   -0.0379    0.8887
   -0.0356    0.8908
   -0.0340    0.8929
   -0.0332    0.8951
   -0.0333    0.8972
   -0.0344    0.8994
   -0.0365    0.9015
   -0.0396    0.9037
   -0.0435    0.9058
   -0.0482    0.9079
   -0.0535    0.9100
   -0.0591    0.9120
   -0.0649    0.9140
   -0.0708    0.9160
   -0.0770    0.9179
   -0.0833    0.9197
   -0.0899    0.9215
   -0.0963    0.9233
   -0.1024    0.9251
   -0.1078    0.9268
   -0.1121    0.9286
   -0.1149    0.9303
   -0.1159    0.9321
   -0.1154    0.9338
   -0.1134    0.9355
   -0.1105    0.9373
   -0.1069    0.9390
   -0.1030    0.9408
   -0.0988    0.9426
   -0.0945    0.9444
   -0.0904    0.9462
   -0.0867    0.9480
   -0.0835    0.9499
   -0.0811    0.9518
   -0.0793    0.9537
   -0.0781    0.9557
   -0.0772    0.9577
   -0.0765    0.9596
   -0.0758    0.9616
   -0.0751    0.9636
   -0.0745    0.9656
   -0.0740    0.9676
   -0.0736    0.9696
   -0.0729    0.9717
   -0.0719    0.9737
   -0.0704    0.9757
   -0.0685    0.9777
   -0.0662    0.9797
   -0.0637    0.9817
   -0.0612    0.9836
