ITEM: TIMESTEP
1
ITEM: NUMBER OF ATOMS
1372
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
ITEM: ATOMS id vx vy vz 
674 0.0770136 -1.76071 1.18803 
675 -0.277619 -1.43489 -0.315371 
676 1.59378 0.346095 -0.790104 
677 -3.72135 1.93116 -1.12212 
678 -0.205876 0.157756 0.953665 
679 1.37795 0.187459 0.51676 
680 0.588839 -0.689103 0.446411 
681 0.785028 -0.429518 -2.10528 
682 -0.359363 -0.101283 0.616891 
683 0.493884 0.253318 1.2104 
684 -1.62801 0.886147 0.151869 
685 0.525342 2.07029 -1.49161 
686 -0.140713 -1.33999 -0.594779 
687 -0.4349 1.06256 1.66743 
688 1.39079 1.31686 -2.81232 
689 -1.99395 1.71411 -1.76931 
690 0.122759 1.38688 -0.131893 
691 1.39345 -0.130869 0.506319 
692 -1.854 -0.983961 0.418402 
693 3.08256 0.167037 1.33082 
694 0.838929 0.572211 -1.17978 
695 1.21119 -1.04424 0.369437 
696 0.346116 -0.469096 -0.707807 
697 0.698392 0.571332 -0.735797 
698 1.04776 -1.5219 -0.49914 
699 0.0619959 -0.00605249 -1.29138 
700 1.27359 0.710525 -0.820547 
701 0.181341 0.281023 0.747078 
702 -1.56213 2.55912 -1.23309 
703 2.14875 -0.831885 -0.0660071 
704 0.00433724 -0.396337 1.16286 
705 1.29581 1.17465 -0.389466 
706 -0.756215 -0.642388 1.78572 
707 -0.549788 0.359717 -0.207199 
708 -2.93167 0.828848 -1.49397 
709 -0.23471 1.32333 -0.256747 
710 -1.46706 -0.64183 2.43806 
711 1.36394 -0.621867 2.07872 
712 0.168643 0.685668 -0.266816 
713 1.77005 1.00873 -0.751644 
714 1.74713 0.592178 -0.769704 
715 -0.800691 0.600356 1.13492 
716 -3.88245 0.907029 -0.81954 
717 1.91623 -0.722672 0.273094 
718 0.401686 0.510619 0.919781 
719 2.09608 -2.83151 2.16746 
720 -0.200932 0.792778 -1.71191 
721 -2.99174 1.95097 1.29994 
722 -1.1364 1.20543 1.41883 
723 0.626501 -0.773353 -0.260643 
724 -1.17256 -0.862177 -0.56107 
725 1.34958 -0.130578 -0.475253 
726 -0.369953 -0.709881 1.38545 
727 0.653436 -0.3793 -0.396038 
728 0.826713 -1.3646 1.24081 
729 -2.71878 2.22368 2.11916 
730 2.24043 -1.77015 -1.30277 
731 0.551054 0.192879 -2.31216 
732 -0.769313 -0.0859855 -0.22806 
733 -0.40626 0.114856 0.941873 
734 -0.445912 0.730451 -1.48387 
735 1.12927 -0.170762 -0.101735 
736 1.57382 -1.4531 0.552706 
737 -0.140073 0.0814673 -0.560003 
738 0.927393 -0.628258 0.268615 
739 1.17111 -0.822931 -0.80661 
740 -2.46112 1.61228 0.747988 
741 -1.50475 0.448138 0.867578 
742 0.510442 -0.822873 0.628577 
743 -1.26082 0.632203 -1.28375 
744 -0.307414 1.30186 0.227315 
745 -0.611336 1.03045 -1.12658 
746 -0.0202081 -0.147688 -1.08377 
747 0.98484 1.9 -1.94352 
748 0.34872 0.74649 -2.06246 
749 -0.614513 -0.110124 0.975773 
750 -0.394094 0.296429 -0.788867 
751 -0.72451 0.949927 0.321192 
752 -0.514454 -0.525895 -1.81616 
753 -0.811654 0.88484 0.556558 
754 1.7593 -0.975585 -1.3811 
755 0.393022 -0.49575 -0.477378 
756 -0.823389 0.946343 -1.84778 
757 -1.97161 0.634291 -2.02863 
758 -0.369074 2.22224 -0.652799 
759 -0.764956 0.229572 -0.214954 
760 0.79491 -2.46779 -1.25981 
761 -1.22366 1.0147 -2.34624 
762 1.38395 -0.011015 0.0312303 
763 -0.354957 -0.24363 0.950939 
764 0.0833197 -0.473149 -1.70339 
765 -1.75442 -0.64188 0.285054 
766 -0.275266 -1.86113 -0.891676 
767 1.83539 -1.56498 -2.71489 
768 -1.1691 2.24488 -1.4377 
769 -1.65276 -1.29487 0.574995 
770 0.202882 1.1095 -0.0897649 
771 1.48016 1.05759 0.37251 
772 0.904604 -0.474172 -0.969748 
773 0.00334317 -3.60228 -2.16801 
774 0.590214 -2.54662 -0.515789 
775 -1.10775 1.00469 0.350251 
776 0.858413 -0.355224 0.945662 
777 -1.16833 1.24345 -0.829961 
778 0.437066 -0.897796 -0.154165 
779 -2.2811 -0.26996 -1.50425 
780 -0.471551 -0.502003 0.0401989 
781 0.585246 -0.376599 -1.47429 
782 0.775628 -2.06485 1.66159 
783 -2.29071 -1.27383 -1.03678 
784 1.82898 -0.651031 -0.913985 
785 -0.995535 0.362326 0.936807 
786 1.93997 1.94083 0.689237 
787 1.28912 1.43788 -1.52921 
788 0.708616 1.08791 1.57588 
789 1.81654 0.289472 2.01778 
790 -0.426623 2.12532 -0.42732 
791 -0.942628 -1.86217 -0.105507 
792 1.48724 -0.502205 -0.112522 
793 0.493013 -0.328119 -1.36497 
794 -0.498506 -1.2821 -0.402948 
795 -0.33339 -1.10894 -1.21546 
796 1.07235 0.995736 0.915607 
797 1.81571 -1.54485 -1.09525 
798 0.612969 0.54779 0.49234 
799 1.44979 -3.19292 0.369135 
800 1.32589 -1.82597 1.94596 
801 0.62905 0.856068 1.25357 
802 1.38337 0.336962 0.115513 
803 0.0436482 -0.346341 -2.35671 
804 2.27894 -0.271121 0.0339234 
805 -0.381967 0.708307 -0.311653 
806 -0.996907 2.36878 0.836862 
807 2.35875 0.296094 0.767028 
808 -2.48714 -0.386411 -0.280141 
809 -0.060491 -0.0735353 1.39277 
810 1.52468 0.490484 0.792693 
811 -2.80164 1.4391 0.999588 
812 0.178203 0.698628 0.719205 
813 -0.28098 0.438364 -2.50727 
814 -1.32928 0.825333 0.249514 
815 0.687525 3.20685 0.558879 
816 -1.25465 -0.247315 0.625453 
817 -0.199188 -0.857205 0.533045 
818 0.660653 0.765676 1.25214 
819 -1.50842 -0.885707 -1.55218 
820 0.0609891 2.04085 0.566299 
821 2.09873 1.39839 0.165511 
822 -0.267396 -0.388631 -1.14856 
823 -1.28839 0.592186 0.17781 
824 -0.463684 0.0600644 0.131987 
825 0.00600041 1.03102 -0.739686 
826 -0.594354 2.42161 -0.805139 
827 -1.82997 0.215886 1.93658 
828 -0.218804 0.632313 0.152701 
829 1.58225 -0.895001 0.251417 
830 -0.645273 -0.201998 -0.0460917 
831 0.392729 1.7805 -0.44941 
832 0.0323255 -0.318735 0.540319 
833 0.231984 -1.74253 1.20568 
834 0.169323 -1.72977 0.176276 
835 2.03254 -0.703969 -1.20824 
836 -0.618429 1.64717 -1.1357 
837 0.802953 1.02752 0.958832 
838 1.05898 0.695552 0.427427 
839 1.18287 -0.94707 -0.0825781 
840 2.42986 -0.0248843 -0.178322 
841 -1.75419 -0.0372152 0.184334 
842 -1.66674 -0.589661 1.70438 
843 -0.705465 0.217434 -0.105137 
844 -1.01384 0.372898 -1.96902 
845 0.354765 -1.34511 0.0923597 
846 0.286132 1.68044 -0.764891 
847 1.48231 1.56337 3.03314 
848 -1.15987 -1.16598 1.01663 
849 0.441662 0.599682 0.91688 
850 -1.19164 -0.593797 1.40521 
851 0.28749 -0.669742 1.33127 
852 0.428799 -2.61027 0.215906 
853 -1.33992 -1.6062 -0.447323 
854 0.484309 0.674862 2.01729 
855 1.36287 -0.789725 -0.846011 
856 0.048362 -0.560068 -0.524433 
857 -1.64683 -1.38368 -0.970643 
858 -0.885141 -1.70867 0.209047 
859 -1.1348 -2.42474 -1.68452 
860 1.61832 -0.299167 -1.46792 
861 -2.01292 -2.21782 -0.646995 
862 0.165791 -0.205849 -0.140075 
863 0.758452 -1.02079 -1.24998 
864 0.603509 0.577429 -1.07394 
865 -1.06722 -1.34006 -1.81366 
866 -1.8253 -0.172202 1.23066 
867 0.193549 -0.911907 -0.88776 
868 -0.474837 -0.134622 0.583667 
869 -0.497994 -0.164875 -0.667777 
870 -1.3669 0.467995 -0.0650228 
871 -1.28936 0.856987 -0.559933 
872 -0.747459 1.13538 -0.289039 
873 1.26148 -0.772285 -0.591787 
874 1.4321 -0.154895 -0.917633 
875 -1.02913 -0.986542 -2.18614 
876 1.165 1.02258 1.1042 
877 2.28886 -0.251224 0.342835 
878 1.1578 0.799397 -0.195262 
879 -0.0200668 2.67015 1.29104 
880 -0.101481 -0.408845 -0.68082 
881 -0.684787 0.0903685 -1.70202 
882 1.04888 -0.113837 1.65052 
883 -0.989133 1.4338 0.374238 
884 1.24847 -0.840935 1.1279 
885 0.4234 -0.0853165 0.00425758 
886 1.80795 1.00624 -0.768456 
887 -1.46723 -1.35712 2.21019 
888 0.975097 0.137544 -1.75985 
889 -1.08241 0.00259487 3.13447 
890 0.196129 0.327394 0.63583 
891 -0.110895 1.46986 0.587489 
892 -1.25661 -1.23678 0.361242 
893 -0.586064 0.0432406 -1.2881 
894 -0.111598 1.20999 -0.189389 
895 0.140861 -1.98774 -0.929412 
896 -1.38988 -0.214459 -1.13642 
897 -0.218287 -0.143467 2.19985 
898 -0.132257 -1.56793 2.59053 
899 -0.369804 -1.35339 0.567424 
900 0.675567 -0.195695 0.96168 
901 -1.88077 -0.361216 -1.72331 
902 0.000304677 0.295063 1.60703 
903 -0.543939 -0.602763 0.740957 
904 -1.83644 -0.0572884 -0.267743 
905 1.17968 -1.46752 -0.21691 
906 1.56135 -3.2462 0.0164884 
907 1.06762 1.90891 2.37469 
908 -1.19162 -1.13452 0.663476 
909 -0.314434 -0.0469718 0.277263 
910 -0.437899 -0.642184 0.500003 
911 -0.132916 -1.03574 0.0303039 
912 1.87658 -1.35338 1.16174 
913 1.83642 -0.0516463 -0.444856 
914 -0.243883 -0.27895 0.204651 
915 -0.58601 -1.34869 0.832247 
916 -1.98336 -1.25588 2.77077 
917 1.18183 -0.479856 0.355906 
918 -0.886448 0.103239 -0.377888 
919 -0.0278593 -0.296024 -1.49512 
920 1.60758 2.72438 -0.182943 
921 -0.24823 -0.05476 0.0790061 
922 1.70317 -2.36029 -0.450222 
923 -0.141588 1.78745 1.7662 
924 0.148637 -0.420141 1.02757 
925 -1.29045 -0.728757 0.514092 
926 0.731449 -0.0932606 1.55948 
927 0.704251 0.0794603 -0.0224389 
928 -0.0722271 -1.1823 1.21532 
929 1.01503 -1.03344 -1.40898 
930 -1.71931 0.545261 2.15544 
931 0.219037 0.227546 -0.758415 
932 1.78778 3.2581 1.79508 
933 -1.69791 -0.835391 -0.525652 
934 0.717763 -0.678352 -0.934683 
935 0.760356 -0.578198 0.434476 
936 0.877075 0.4827 2.39499 
937 0.361155 0.7088 -1.40606 
938 -0.293355 1.29191 -0.803228 
939 -0.994349 0.0175682 -0.712179 
940 -0.0328984 0.910871 0.982448 
941 -0.321559 0.32795 0.217232 
942 -0.81549 0.465425 1.28016 
943 -1.44076 0.566547 -0.0856399 
944 -0.423328 -0.378675 0.289946 
945 2.21073 -0.275056 -0.325745 
946 1.00981 -0.995674 0.437482 
947 -0.790203 0.957716 -1.56231 
948 -1.33008 -1.06867 -0.603205 
949 -0.0820532 -0.626401 0.51941 
950 -0.934862 1.43875 0.868077 
951 0.927702 1.67688 -1.3373 
952 -0.791333 0.633088 -0.731497 
953 -1.27266 -0.610962 1.63605 
954 -0.425016 -0.648933 0.383316 
955 -0.997571 -0.0971361 1.34712 
956 -0.260704 -1.02876 0.941851 
957 -0.441071 0.0640011 1.22492 
958 0.753258 0.295045 0.770896 
959 -1.75522 -0.577152 -0.231761 
960 2.34621 -1.32998 0.582605 
961 0.9508 0.622511 -1.37508 
962 -1.47106 0.670986 -1.86405 
963 2.44153 0.205034 -0.138802 
964 -1.73847 1.15398 1.85774 
965 2.77243 -0.359048 -1.13294 
966 0.856781 1.80294 1.05191 
967 -0.77189 -1.57022 -0.0119546 
968 -1.61197 0.580768 -0.108259 
969 2.02522 -0.548697 1.68719 
970 -0.473479 -0.750013 0.929703 
971 1.66302 1.16602 0.632616 
972 2.37077 -0.658085 -1.29288 
973 -0.337283 -0.361885 -0.0365752 
974 -0.200372 -0.558396 -0.0966301 
975 -1.3215 -0.568812 -1.69059 
976 -0.066972 0.225335 1.86788 
977 0.937805 -1.42034 0.58472 
978 1.23496 1.32484 0.871919 
979 0.0166068 -0.174429 0.833642 
980 -0.304402 -1.27538 0.104613 
981 -0.156197 -1.92171 -0.568029 
982 0.289106 0.0984585 -0.998187 
983 -2.17454 0.685771 -1.0177 
984 -0.163692 -2.64441 -1.28338 
985 -0.729411 -1.07394 -1.25963 
986 2.41354 1.09114 -0.631538 
987 -2.10565 -1.35037 -0.171011 
988 -1.92402 0.705148 -0.0416885 
989 2.19503 -1.7156 0.189487 
990 -0.335004 0.806269 0.00902579 
991 1.04792 -0.21882 1.78515 
992 -0.186547 -0.27951 1.75127 
993 0.383716 -0.276888 -1.01383 
994 -1.32574 -1.19579 -1.40137 
995 -0.350204 -1.10651 -0.0678399 
996 0.605278 -0.655129 0.353354 
997 -0.00103682 0.322883 -0.74871 
998 0.302349 0.484953 -1.33021 
999 -0.750348 -0.356029 1.19059 
1000 0.245232 -0.774488 -0.133594 
1001 -0.724026 1.61095 -1.30893 
1002 0.0898477 1.88859 -0.659142 
1003 -0.502735 2.23188 -1.33632 
1004 -1.7087 2.29059 1.06499 
1005 -0.221522 -1.96405 0.222537 
1006 0.132516 1.22624 -0.300706 
1007 -0.183453 0.496432 1.98447 
1008 -0.139049 -0.82366 -1.6193 
1009 0.0252652 0.0992911 -0.00350044 
1010 -2.34883 1.70153 -0.276584 
1011 -0.196678 0.0156927 0.28932 
1012 -2.0115 2.36533 -0.570498 
1013 0.888881 -0.495157 0.809102 
1014 0.796403 0.249951 -0.175604 
1015 1.84128 0.248033 -2.93091 
1016 0.0911516 0.316735 -1.25527 
1017 -0.25767 0.501986 -0.366259 
1018 -1.69627 -0.324263 -0.482142 
1019 0.71761 -1.50435 -0.0830295 
1020 -0.0467444 -0.321452 1.44175 
1021 -2.03544 1.51778 -0.580489 
1022 -1.25087 0.201428 0.555737 
1023 0.12364 -0.790728 0.274488 
1024 0.939373 -0.0901162 -0.241314 
1025 0.649131 -0.918082 0.633884 
1026 -1.99713 1.55926 1.23718 
1027 0.555941 0.468194 -0.625865 
1028 0.705129 -0.291976 -0.446236 
1029 -1.48766 -0.125214 0.0266727 
1030 1.74814 1.19784 0.610828 
1031 -1.5833 -0.396924 -2.07918 
1032 1.2838 0.0626918 -1.08095 
1033 0.998967 -1.02162 -1.20225 
1034 0.799327 -1.84072 -1.1447 
1035 -1.17133 -1.93704 1.14403 
1036 -0.377513 -0.979208 -1.11139 
1037 0.0766221 -0.384542 -0.45786 
1038 -2.29203 -0.535792 -1.81708 
1039 0.27594 0.847206 -0.957203 
1040 1.91917 0.631605 1.96071 
1041 -0.743619 1.29048 -0.884819 
1042 -0.264035 0.0356566 -1.64199 
1043 1.09912 0.579577 -1.45677 
1044 0.0128584 0.980951 -2.11484 
1045 -0.413841 0.841892 0.987898 
1046 1.01829 -2.53303 -0.546962 
1047 0.20834 -0.142852 -0.571118 
1048 0.98476 0.459897 0.33893 
1049 -0.734705 0.542085 0.9453 
1050 1.11111 -1.22856 0.190741 
1051 -0.339807 1.66275 0.780847 
1052 -2.03757 0.669776 1.29525 
1053 1.81024 -1.5423 0.842885 
1054 -0.678395 0.537659 -0.0925627 
1055 1.01125 -1.23615 -0.242385 
1056 0.800989 -0.606607 0.232019 
1057 0.648569 0.247085 -0.0685167 
1058 0.187947 -0.489061 -1.67387 
1059 -0.468226 1.79349 -0.183188 
1060 -1.87087 -1.21638 -1.61983 
1061 2.12976 -1.8191 0.317498 
1062 -0.0643164 -1.07096 -0.312725 
1063 2.15434 1.02082 0.811597 
1064 -0.602497 -0.554802 -0.108672 
1065 -1.05562 1.81996 3.28518 
1066 0.520584 -1.0449 -0.801385 
1067 0.760377 -2.57695 -2.46697 
1068 -0.0408968 0.901412 -0.38988 
1069 -0.357443 -0.327611 -0.388934 
1070 -1.64804 0.776515 0.640142 
1071 -0.152494 0.539587 1.41796 
1072 0.63653 0.820708 -1.08952 
1073 -1.08286 -1.9663 0.73648 
1074 -0.390443 -0.306405 -0.0238586 
1075 -0.792105 -1.45391 1.18393 
1076 1.79506 1.04778 0.321095 
1077 0.0296019 0.32641 -1.42975 
1078 -2.63103 0.421647 -1.35079 
1079 0.38041 0.767084 1.47207 
1080 -0.0816284 1.63494 -0.967614 
1081 0.201538 1.24677 -1.96871 
1082 2.81289 0.585731 0.964979 
1083 0.288865 1.66477 0.624695 
1084 2.58427 0.445616 -1.80772 
1085 -1.54374 0.715658 -0.992513 
1086 -0.524202 1.21232 -1.12439 
1087 2.03419 0.0503722 1.10911 
1088 0.239183 0.2411 1.32329 
1089 -0.134875 -0.617115 -0.584097 
1090 0.104732 1.95109 1.8187 
1091 -0.265515 1.03139 -1.02948 
1092 -0.907229 -0.37435 0.200351 
1093 -0.922034 0.367531 0.12036 
1094 -0.437695 -0.20757 0.139504 
1095 -1.5118 -0.344826 0.902867 
1096 -2.30289 1.27289 -0.575078 
1097 -0.150775 -0.0912278 0.697816 
1098 -0.286523 -0.538459 0.151561 
1099 -2.08308 -2.81462 -1.4915 
1100 0.990676 1.92765 -1.97245 
1101 0.301979 -0.787321 -2.77075 
1102 1.94519 -0.575869 0.258267 
1103 0.902069 -0.383554 -2.28118 
1104 0.753561 0.260925 1.12659 
1105 0.0863389 0.428398 -1.4631 
1106 0.358595 0.402644 1.20633 
1107 0.370053 0.573356 1.04536 
1108 -0.492238 -1.53422 1.99086 
1109 0.304458 0.778685 -1.50938 
1110 0.944243 -0.0769632 -0.265744 
1111 0.618447 3.04284 0.338121 
1112 0.0887501 0.343322 0.290612 
1113 1.03801 -1.8091 0.397698 
1114 -0.505544 -1.40397 -0.697681 
1115 1.17912 -0.75349 1.11579 
1116 -2.43714 1.28524 1.03345 
1117 -0.164376 1.06767 0.155337 
1118 -0.271882 -0.32054 -0.734753 
1119 0.0574985 -0.250442 0.866 
1120 1.28799 -0.552915 -2.04681 
1121 0.311433 -1.44208 -0.354801 
1122 0.559127 2.8041 2.35366 
1123 1.46412 -1.15624 0.484705 
1124 -1.46329 -0.909587 0.845952 
1125 0.248421 0.910452 -0.335093 
1126 0.574241 1.42331 0.217241 
1127 -0.277008 0.0433549 -2.40346 
1128 0.914002 0.347551 1.08603 
1129 2.82139 1.16026 -0.0730222 
1130 0.212434 -0.952372 0.521894 
1131 0.0337641 -2.58719 -0.506381 
1132 -0.732172 -0.4977 -0.0745708 
1133 -0.857826 -1.20208 0.162258 
1134 0.27342 -0.505159 -2.75803 
1135 -0.0284598 0.217167 1.05408 
1136 -0.559321 0.56568 1.27559 
1137 -0.033791 1.45526 -1.09139 
1138 0.67332 0.0584774 0.537729 
1139 0.394477 -1.78215 0.175075 
1140 -1.15371 -1.16623 0.651073 
1141 -0.124177 -0.445682 -1.47125 
1142 -0.25465 -0.633595 -1.41836 
1143 0.623405 -0.150247 -0.456528 
1144 -0.684972 -0.393857 0.178036 
1145 0.0796223 0.22331 -0.157572 
1146 -0.0208322 2.13177 0.814206 
1147 0.286725 -1.66843 -0.966783 
1148 0.304903 -1.92819 -0.259504 
1149 -0.0504878 -2.15247 0.839328 
1150 1.06104 0.607975 1.70926 
1151 -2.62521 -0.0791301 1.05372 
1152 0.851706 0.360006 -1.86764 
1153 0.585763 1.1865 -0.912601 
1154 0.0838513 -0.93586 0.448824 
1155 0.982483 0.785692 1.18529 
1156 0.764186 1.56268 -0.839575 
1157 -2.63195 -0.979932 -0.616019 
1158 -0.862612 1.5739 -0.480578 
1159 1.16332 -0.344029 -0.267577 
1160 -0.0096501 -0.584563 0.214405 
1161 1.3633 0.92168 -0.642904 
1162 0.131992 0.759301 -1.18352 
1163 -0.0522702 0.634925 -0.241077 
1164 -0.190649 0.667987 0.238401 
1165 0.493074 -0.750995 -1.52929 
1166 -0.682467 -1.40456 -0.988895 
1167 -0.452292 2.1309 0.708694 
1168 -0.42861 0.690574 0.367271 
1169 0.645097 -1.08352 1.1425 
1170 -0.74195 -1.44269 -0.888135 
1171 -0.478583 -0.282083 -1.59778 
1172 -1.84511 1.27505 0.249768 
1173 -1.51133 0.206076 -0.120223 
1174 -1.3514 -0.232804 1.13778 
1175 -1.47118 1.03576 -0.409334 
1176 0.876383 0.327462 0.931115 
1177 1.64132 1.49945 0.474089 
1178 1.25242 -0.0800126 -0.0890549 
1179 -0.164331 0.674799 -0.182535 
1180 -1.20004 -1.06795 0.662844 
1181 -0.7195 -1.05309 0.797732 
1182 0.00570248 -0.407939 -0.0179458 
1183 -0.457498 2.37945 -1.41318 
1184 0.243376 0.0582211 1.13294 
1185 0.315736 -1.49878 -0.842717 
1186 2.13779 -0.0447909 0.68186 
1187 0.215337 -0.348063 0.43432 
1188 -1.5395 1.30171 0.00918081 
1189 1.22795 1.87066 -0.491931 
1190 0.664261 0.753112 0.511123 
1191 -1.74828 0.145365 -1.43883 
1192 1.0239 -1.60529 0.966587 
1193 0.349097 1.08571 1.10527 
1194 0.407102 -0.419162 0.136993 
1195 -1.64436 -1.50885 1.76094 
1196 1.61482 -0.259195 2.27653 
1197 0.870921 0.594398 -0.121287 
1198 1.64971 1.43513 -0.704714 
1199 -1.00083 -1.31517 -0.999469 
1200 1.40172 -1.96882 -0.0472033 
1201 -2.5742 1.85499 1.22346 
1202 0.832916 1.1427 -1.553 
1203 0.737568 -0.633713 1.50438 
1204 -1.00219 0.836249 -0.0925307 
1205 1.02111 -1.37883 -0.192968 
1206 0.112588 -1.99106 -2.20215 
1207 -0.385982 1.76445 -2.49825 
1208 0.826429 0.63379 1.1693 
1209 -2.24603 1.57496 1.1818 
1210 0.426165 0.321672 -1.45245 
1211 1.15305 1.71689 0.50098 
1212 0.479514 1.50594 -0.232119 
1213 -1.91127 0.032406 0.175344 
1214 -0.413487 2.99605 0.131665 
1215 1.26377 2.02739 -0.959625 
1216 -0.26794 0.103691 0.133647 
1217 -0.945667 -1.37138 0.932811 
1218 0.655499 -1.34704 1.54478 
1219 0.786826 -0.327994 -2.08728 
1220 -1.35022 0.0275308 -1.12856 
1221 0.473682 3.06956 1.26852 
1222 -0.759686 -0.729367 -0.953568 
1223 0.23018 -2.99644 -1.18715 
1224 0.913214 -2.08798 1.708 
1225 1.74156 0.550804 -0.904831 
1226 0.11293 -0.576328 0.919434 
1227 -2.23041 0.329194 0.997989 
1228 1.68639 0.0380236 0.127425 
1229 0.132244 -0.137886 1.1844 
1230 1.65293 0.839038 1.58285 
1231 1.36076 -0.805531 1.7728 
1232 1.12827 1.77887 -1.00838 
1233 0.882765 1.41116 1.57847 
1234 1.11617 -1.04133 0.834733 
1235 -0.646198 -0.00653917 0.698607 
1236 0.332995 0.667504 1.25739 
1237 -1.24958 -0.411072 0.28581 
1238 0.168973 -0.723354 -1.44069 
1239 0.610272 1.76499 0.832676 
1240 -0.695388 -1.82939 -0.743875 
1241 0.83048 1.60031 -2.2121 
1242 0.233341 0.337309 -2.43728 
1243 -2.93025 0.404882 -0.227478 
1244 -1.09116 0.131443 -0.501529 
1245 -2.78055 -2.1111 2.41102 
1246 2.47135 -0.0619079 -1.1247 
1247 0.792101 -0.642558 -1.15266 
1248 -0.0109051 -1.38017 1.00468 
1249 0.140666 -0.13212 -0.453516 
1250 -0.92827 0.371151 -0.121764 
1251 -0.26888 0.62031 -0.822491 
1252 -0.487218 -0.659634 0.298001 
1253 -0.208987 0.844154 0.867466 
1254 -0.498466 1.58697 1.76785 
1255 0.219789 0.392394 -0.759691 
1256 -1.11453 0.932827 -0.473604 
1257 -1.34869 -0.503134 0.268494 
1258 -0.617317 -2.05886 0.361807 
1259 0.479583 -0.446456 1.42611 
1260 0.804749 0.283725 0.58101 
1261 0.401346 0.174884 1.25873 
1262 -1.53472 -0.403242 1.94518 
1263 0.981019 -0.89142 0.476838 
1264 2.31495 -0.583235 0.925984 
1265 2.07559 0.890984 1.27345 
1266 -0.382787 0.965077 0.613961 
1267 1.93256 0.232162 0.452047 
1268 0.328538 -0.446593 0.278988 
1269 0.610614 -1.4652 -0.266089 
1270 -0.633527 -0.466738 0.364041 
1271 -2.30004 -2.11611 0.72442 
1272 0.471438 0.42472 1.55707 
1273 -0.219373 -0.565343 1.93874 
1274 0.459318 -1.0867 0.32788 
1275 -1.21202 -0.263008 1.16565 
1276 0.0497214 0.968957 0.79909 
1277 -1.60702 -0.531865 2.53421 
1278 0.0726457 1.81879 -0.0527843 
1279 1.71193 -0.580102 0.884915 
1280 1.18175 0.390613 -1.1055 
1281 0.893459 -0.460396 0.640575 
1282 -0.778127 -1.55135 -1.23966 
1283 -0.090427 -0.532818 -0.740992 
1284 -0.341598 0.235394 0.231275 
1285 0.502045 0.493835 1.29553 
1286 0.0560207 2.16644 -0.588931 
1287 0.647629 0.829985 -0.897575 
1288 0.743407 -1.62234 0.189252 
1289 1.44097 -0.75498 -0.646113 
1290 -0.228275 1.4609 -0.757212 
1291 -1.17468 -0.551948 -1.65873 
1292 -1.82771 -1.23663 -1.40231 
1293 -0.755995 -0.904897 -0.93024 
1294 0.690045 -0.306368 0.758626 
1295 1.8954 1.14722 1.29816 
1296 1.21434 -0.08644 -0.196543 
1297 -0.709843 0.490005 -0.755276 
1298 -1.55766 0.0716615 0.990648 
1299 -1.07189 1.79372 -0.168534 
1300 -0.14453 -0.629954 -0.203124 
1301 -0.824397 -0.254657 0.547951 
1302 1.72062 1.18708 -1.1876 
1303 -1.50611 -0.357061 1.29254 
1304 -0.170661 -3.09772 -0.0611699 
1305 -0.353283 -1.23872 -0.772141 
1306 -0.281397 -0.823665 -1.45664 
1307 0.828217 -0.311955 0.265409 
1308 -0.36663 0.251307 1.66171 
1309 0.884845 0.780162 -0.888694 
1310 -1.08384 2.01957 -1.32198 
1311 -0.0353634 -2.24113 -0.381239 
1312 1.57259 0.0888415 1.36623 
1313 -1.40669 0.572182 -0.190664 
1314 -0.587628 -0.560237 0.907809 
1315 1.6853 -0.456507 -0.70455 
1316 -0.41491 0.143827 -1.46278 
1317 -1.40575 -0.0515438 -0.577576 
1318 0.934867 -1.67742 0.0482472 
1319 0.619592 -0.779103 1.06545 
1320 -0.967745 0.944677 1.1082 
1321 -0.647634 -0.283758 0.338987 
1322 0.475823 2.1486 -1.34482 
1323 -2.08432 0.524853 -0.568126 
1324 -0.289567 -0.737545 2.47961 
1325 0.10501 0.982036 2.20982 
1326 -0.51886 0.168631 -1.12861 
1327 1.24755 -0.315856 1.16547 
1328 0.48497 -0.159279 -1.75102 
1329 0.10268 1.42036 1.74578 
1330 -0.929096 0.22462 -0.9595 
1331 1.1809 1.34897 1.83843 
1332 -0.0670869 -0.628591 -1.7316 
1333 -0.511449 -0.433464 1.24077 
1334 -1.28212 1.99881 1.43741 
1335 0.999145 0.418613 0.144053 
1336 -0.331687 1.80176 -0.805291 
1337 -0.795053 -1.93307 0.336388 
1338 1.16156 0.439927 -1.32103 
1339 -0.63592 0.113194 -0.840608 
1340 -0.0490702 0.607681 -0.240437 
1341 -0.816423 0.507833 -0.188868 
1342 -1.21095 0.204421 0.760791 
1343 1.63031 -0.326551 0.776477 
1344 0.520123 0.302708 -0.464942 
1345 0.952469 0.653671 -0.633826 
1346 2.51818 0.312352 -0.785846 
1347 1.3516 -1.135 1.22934 
1348 -0.283687 -0.404406 0.529704 
1349 0.453328 -2.37294 -0.204119 
1350 -0.516828 -0.941356 0.710593 
1351 1.6183 -0.313849 -0.543116 
1352 1.1154 1.55428 1.0307 
1353 1.09418 -2.00806 -0.750751 
1354 -0.723931 1.18683 -0.365675 
1355 2.42957 -0.573204 0.754021 
1356 0.182918 -0.623419 -0.418716 
1357 0.320208 -1.42914 0.123632 
1358 -0.180152 -0.353379 -1.14857 
